Amount,CustomerID,TransactionAmount,MerchantID,AnomalyScore,Category,Age,AccountBalance,SuspiciousFlag,Hour,gap
75.47905609561833,0.0,90.65438481299248,0.0,0.3898056765444077,0.10288808664259928,47.0,6216.592207009143,0,5.0,1556.0
58.15690485055147,0.0,79.2914631652707,0.0,0.4819476707058461,0.06678700361010831,45.0,1706.6937462029791,0,22.0,1308.0
27.80088598721183,0.0,57.51099769148146,0.0,0.9311109547950012,0.09187279151943463,41.0,5274.509580488804,0,16.0,6977.0
40.09200187480478,0.0,47.5754443367294,0.0,0.1110358334303553,0.10245901639344263,23.0,2264.5322413232925,0,3.0,5464.0
17.980114758950403,0.5,22.37523684367271,1.0,0.841260880689588,0.09187279151943463,23.0,6706.5153179946565,0,3.0,3354.0
87.32668386516971,0.0,80.70974526631184,0.0,0.9744071078134384,0.11190053285968028,34.0,8220.272586961899,0,3.0,5206.0
68.45013574223046,0.0,80.94424608679279,0.0,0.1194419894785796,0.10245901639344263,35.0,49994.59982272616,0,15.0,4705.0
99.22761199953192,0.5,11.21758142788388,0.0,0.9476932684828324,0.09187279151943463,63.0,2814.228800897226,0,11.0,171.0
84.49855110936545,1.0,49.20280542602398,1.0,0.7328501468662174,0.09187279151943463,32.0,6953.227550928013,0,12.0,2716.0
95.08895110289193,0.0,52.61183381187068,0.0,0.8401925805783935,0.06678700361010831,18.0,8806.107953122191,0,18.0,1017.0
93.77928526523004,0.0,13.860649722999309,0.0,0.1042616878539901,0.10288808664259928,38.0,7896.469489600358,0,7.0,1577.0
65.99044986372209,0.0,88.3115625089406,0.0,0.7294651505631964,0.11190053285968028,42.0,6603.345585466301,0,0.0,2209.0
42.952865998758114,1.0,91.34468537247176,1.0,0.6049275245198282,0.11190053285968028,29.0,3691.612105345598,0,8.0,4640.0
31.979659234409723,0.0,23.058375450222265,0.0,0.2516423368862118,0.11190053285968028,30.0,4439.094472009399,0,7.0,3365.0
71.81717398060081,0.0,64.53986454267948,0.0,0.97990218361873,0.10245901639344263,37.0,8512.856748403708,0,21.0,806.0
11.519647012215945,0.0,82.64060181382908,0.0,0.8055218328292107,0.10245901639344263,36.0,5264.611166893853,0,4.0,6951.0
32.01487389401338,0.0,44.49590712119067,0.0,0.4620084659632966,0.11190053285968028,53.0,3294.2074518040536,0,19.0,6765.0
49.0947665182262,0.0,51.76177689490533,0.0,0.9329189690136994,0.10288808664259928,55.0,6303.264581403243,0,23.0,2325.0
95.23228120959106,0.0,81.65325490314163,0.0,0.1860655017479132,0.09187279151943463,58.0,1298.5375922140747,0,6.0,5237.0
48.9610635435481,0.0,17.779482658679527,0.0,0.6759232160863865,0.06678700361010831,52.0,8376.345134323044,0,17.0,3626.0
48.03922655723794,0.0,36.433633912709055,0.0,0.2036478055914754,0.11190053285968028,43.0,2147.338167799917,0,5.0,3068.0
14.482614168445206,0.0,31.692604103810098,0.0,0.5903701656816415,0.09187279151943463,39.0,8454.179719666616,0,18.0,4411.0
62.98289657955464,0.0,39.59155595638786,0.0,0.6092013469089965,0.10245901639344263,60.0,3633.46466663477,0,8.0,1831.0
83.65822625944516,0.0,10.989448074233092,0.0,0.3760233475814576,0.10288808664259928,25.0,8828.73263293845,0,18.0,7228.0
14.739921629267384,0.0,18.456954125798,0.0,0.3635061171002596,0.11190053285968028,41.0,4150.105206436911,1,23.0,7126.0
96.98770284041024,0.0,81.598946844312,0.0,0.0993973434109065,0.11190053285968028,45.0,2662.2458524121157,0,3.0,4926.0
34.32791624544218,0.0,46.368478740804335,0.0,0.6084933664498083,0.10245901639344263,20.0,7302.971790394945,0,7.0,6607.0
50.468403419659175,0.0,32.893151853486884,0.0,0.5141002711631629,0.09187279151943463,25.0,5237.915393027149,0,14.0,4714.0
27.46113530982408,0.0,93.96851349998003,0.0,0.3096037993678361,0.10245901639344263,35.0,9177.42067838462,0,2.0,1250.0
38.62123553970919,0.0,1499.958966331711,0.0,0.2363710118512604,0.06678700361010831,46.0,1436.0309078109103,0,0.0,431.0
47.94352390256865,0.0,36.01576829817057,0.0,0.2359565768998685,0.11190053285968028,45.0,6454.277231761229,0,16.0,4831.0
57.46289437161512,0.0,82.83274707107124,0.0,0.7414803743487941,0.10245901639344263,39.0,6991.945435367951,0,3.0,5469.0
40.79872673876622,0.0,48.0718870720596,0.0,0.5351683147680193,0.11190053285968028,41.0,7955.5344768461855,0,20.0,5209.0
78.20825751585603,0.0,91.3847273022141,0.0,0.0715966694193249,0.11190053285968028,60.0,9641.256307206908,0,1.0,2819.0
92.676143828312,0.0,32.605861868732646,0.0,0.0263930725381228,0.10245901639344263,50.0,8583.219086444129,0,5.0,4924.0
38.34319720057417,0.0,92.78834116750969,0.0,0.579568707805852,0.10245901639344263,64.0,49994.59982272616,0,2.0,3917.0
66.26891358765971,0.0,38.5112389522329,0.0,0.5836867340279216,0.09187279151943463,44.0,49994.59982272616,0,6.0,1329.0
47.82351734885143,0.0,84.29384206920955,0.0,0.3325226284038451,0.11190053285968028,19.0,2611.8885260334364,0,6.0,5453.0
97.68421497348714,0.0,67.93787572034697,0.0,0.4653805455453969,0.10245901639344263,52.0,7537.224610225825,0,19.0,2572.0
17.54908176093134,0.0,69.68917143173857,0.0,0.3403900101186653,0.09187279151943463,43.0,1965.0266398230883,0,13.0,238.0
99.12673054054552,0.0,53.15333820956972,0.0,0.9748886690863496,0.10245901639344263,31.0,2678.056841561261,0,1.0,1003.0
73.09052420011156,0.0,12.650352125198104,0.0,0.6160320301711251,0.10288808664259928,55.0,9869.859657873125,0,7.0,4666.0
37.29413637169439,0.0,86.71975157019533,0.0,0.2438659101736332,0.06678700361010831,54.0,7606.080599212994,0,9.0,7541.0
14.528872129615404,0.0,1499.958966331711,0.0,0.5842163675223202,0.10288808664259928,25.0,8239.226985435242,0,1.0,3914.0
33.80094762418602,0.0,28.786905271208717,0.0,0.5273083176705209,0.09187279151943463,53.0,4027.726149835809,0,21.0,505.0
58.006493420666494,0.0,79.94944759274817,0.0,0.03669575691244,0.10245901639344263,57.0,3627.086696399698,1,4.0,2756.0
82.52793154235181,0.0,23.171874526515047,0.0,0.5902231902663284,0.11190053285968028,62.0,6061.330467932879,0,20.0,5070.0
14.450970741953377,0.0,44.47660604273242,0.0,0.0105884620316534,0.11190053285968028,23.0,49994.59982272616,0,20.0,767.0
22.96053541985272,0.0,88.53491933992154,0.0,0.7442728909166846,0.10288808664259928,39.0,8483.779903054801,0,11.0,6838.0
41.677809974101294,0.0,70.9619275868246,0.0,0.2824501046599497,0.10245901639344263,41.0,6438.4669858822,0,16.0,4960.0
93.58578299113252,0.25,34.70468945729172,1.0,0.6100067152795959,0.06678700361010831,24.0,1334.9032186980858,0,17.0,5089.0
79.74297098542117,0.0,99.11622826157615,0.0,0.981459872721759,0.11190053285968028,53.0,3398.3112330466283,0,17.0,991.0
99.3489484318628,0.0,33.6141991153725,0.0,0.3421374713280143,0.10288808664259928,41.0,8463.680461332995,0,8.0,3834.0
14.687095337372646,0.0,13.7711377928944,0.0,0.8271826391342912,0.06678700361010831,51.0,7329.781747568912,0,20.0,1396.0
73.74526377530344,0.0,91.0521757232076,0.0,0.4347035670125957,0.06678700361010831,32.0,8084.953976612961,0,14.0,4709.0
56.85692209140192,0.0,29.0918453381582,0.0,0.2843411124986772,0.11190053285968028,43.0,9452.390195422333,0,16.0,2832.0
39.512436495432894,0.0,28.475325433956797,0.0,0.6770341884579051,0.10245901639344263,34.0,8378.765482449198,0,15.0,2346.0
83.4708364725041,0.0,31.27745734771725,0.0,0.5875406171951518,0.10245901639344263,62.0,5446.387049246804,0,18.0,1130.0
45.94001138370568,0.0,11.84019195308705,0.0,0.0371864516595248,0.06678700361010831,54.0,49994.59982272616,0,2.0,3272.0
95.91323122202851,0.0,80.91289537531061,0.0,0.590188088229201,0.10288808664259928,41.0,3875.394709438207,0,23.0,3392.0
